Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
122,22,2,158,2,Some Random Commen with Id 122
123,22,2,152,5,Some Random Commen with Id 123
124,23,8,181,2,Some Random Commen with Id 124
125,23,8,154,8,Some Random Commen with Id 125
126,23,8,4,2,Some Random Commen with Id 126
127,23,8,20,3,Some Random Commen with Id 127
128,23,8,128,3,Some Random Commen with Id 128
129,23,8,55,2,Some Random Commen with Id 129
130,23,8,102,4,Some Random Commen with Id 130
131,23,8,146,5,Some Random Commen with Id 131
132,23,8,170,7,Some Random Commen with Id 132
133,24,3,120,4,Some Random Commen with Id 133
134,25,1,38,1,Some Random Commen with Id 134
135,25,1,190,9,Some Random Commen with Id 135
136,25,1,54,0,Some Random Commen with Id 136
137,25,1,196,3,Some Random Commen with Id 137
138,25,1,90,6,Some Random Commen with Id 138
139,25,1,125,4,Some Random Commen with Id 139
140,26,0,153,9,Some Random Commen with Id 140
141,26,0,149,4,Some Random Commen with Id 141
142,26,0,74,5,Some Random Commen with Id 142
143,26,0,78,1,Some Random Commen with Id 143
144,26,0,63,6,Some Random Commen with Id 144
145,26,0,33,1,Some Random Commen with Id 145
146,26,0,48,8,Some Random Commen with Id 146
147,26,0,90,7,Some Random Commen with Id 147
148,27,1,161,6,Some Random Commen with Id 148
149,27,1,133,1,Some Random Commen with Id 149
150,29,0,44,5,Some Random Commen with Id 150
151,29,0,9,1,Some Random Commen with Id 151
152,29,0,2,6,Some Random Commen with Id 152
153,29,0,59,8,Some Random Commen with Id 153
154,29,0,32,5,Some Random Commen with Id 154
155,30,2,100,6,Some Random Commen with Id 155
156,30,2,171,2,Some Random Commen with Id 156
157,30,2,175,3,Some Random Commen with Id 157
158,31,5,132,0,Some Random Commen with Id 158
159,31,5,73,3,Some Random Commen with Id 159
160,32,3,39,9,Some Random Commen with Id 160
161,32,3,28,3,Some Random Commen with Id 161
162,32,3,28,4,Some Random Commen with Id 162
163,33,9,121,2,Some Random Commen with Id 163
164,33,9,133,6,Some Random Commen with Id 164
165,33,9,54,1,Some Random Commen with Id 165
166,33,9,93,9,Some Random Commen with Id 166
167,34,8,5,2,Some Random Commen with Id 167
168,37,8,25,3,Some Random Commen with Id 168
169,37,8,89,6,Some Random Commen with Id 169
170,38,6,121,9,Some Random Commen with Id 170
171,38,6,20,0,Some Random Commen with Id 171
172,38,6,24,6,Some Random Commen with Id 172
173,39,1,193,2,Some Random Commen with Id 173
174,39,1,13,9,Some Random Commen with Id 174
175,39,1,181,6,Some Random Commen with Id 175
176,39,1,7,7,Some Random Commen with Id 176
177,39,1,90,1,Some Random Commen with Id 177
178,39,1,181,1,Some Random Commen with Id 178
179,39,1,51,0,Some Random Commen with Id 179
180,39,1,128,2,Some Random Commen with Id 180
181,39,1,162,1,Some Random Commen with Id 181
